School Name,Address,Website,City,Category,Gender,Principal,Founded,Affiliation,Web Url,Fees,Revenue,Mobile/Contact Number,Principal/Heigher Mgm. Emails,Emails,Other Higher Mgm. Email,Other Email,Other Email.1,Contact number,Contact number.1,Contact number.2,Merged_Unnamed,,,
BLOSSOMS INTERNATIONAL School Of Excellence,"No. 50, SY No. 276, 278, 282 286, Aparna Hill Park Road, Srinagar Colony, near Deepthi, Madinaguda, PJR Enclave, Miyapur, Hyderabad, Telangana 500050",http://www.blossomsinternational.in/,Telangana,Play School,,,,,,3 crore,,040 4020 9209,,,blossomsinternational.soe@gmail.com,blossomssoe.nallagandla@gmail.com,info@blossomsplayschool.com,8790909260,7093651414,8977862000,aarambh.cbse@gmail.com,,,
Bachpan A Play School,"H. No. 9-1-131, Temple Rd, near Trinity Junior College, Ayyappaswamy, Bhagatnagar, Karimnagar, Telangana 505001",https://www.bachpanglobal.com/,Telangana,Kids School,,,,,,5 crore,,093460 02121,,,admissions@bachpanglobal.com,franchise@bachpanglobal.com,hguda544@bachpanglobal.com,9392996555,7290047000,9811437000,"8877777176, 9835264868",,,
Bachpan A Play School With Academic Heights Public School,"128, Transport Nagar, Behind T.P. Nagar Thana, Baghpat Rd, Meerut, Uttar Pradesh 250002",https://www.bachpanglobal.com/,Uttar Pradesh,Play School,,,,,,2 crore,,095680 12388,,,franchise@bachpanglobal.com,admissions@bachpanglobal.com,response@bachpanglobal.com,9811437000,7290047000,+91-9811437000,"9913456029, 7490969555",,,
Bachpan Play School,"Street Number 4, Surya Nagar, Toli Chowki, Hyderabad, Telangana 500008",http://www.bachpanglobal.com/,Telangana,Play School,,,,,,4 crore,,093926 26111,,,admissions@bachpanglobal.com,franchise@bachpanglobal.com,j-d@bachpanglobal.com,9990001908,9990047047,7290047000,"+91-9262892998, +91-9262892999",,,
"Bachpan Play School, Bhadrakali, Hooghly","Parivar Reign, 52-B, G. T. Road, Uttarpara, Near Shibtala Bus Stand, Bhadrakali, West Bengal 712232",https://www.bachpanglobal.com/,West Bengal,Kids School,,,,,,2.5 crore,,093300 92716,,,franchise@bachpanglobal.com,admissions@bachpanglobal.com,response@bachpanglobal.com,9811437000,7290047000,+91-9811437000,"9980515821, 9972532988",,,
"Bachpan Play School, Haweli Khas, Basti, Uttar Pradesh","Haweli Khas, Post, Gandhi Nagar, Basti, Uttar Pradesh 272001",https://www.bachpanglobal.com/,Uttar Pradesh,School,,,,,,5 crore,,098393 33361,,,franchise@bachpanglobal.com,admissions@bachpanglobal.com,response@bachpanglobal.com,9811437000,7290047000,+91-9811437000,"919136888111, 918248627201",,,
"Bachpan Play School, Panaji","A-9 ocean Park,, Donapaula, Taleigao,, Panaji, Goa 403802",http://www.bachpanglobal.com/,Goa,"Private Schoos, Kids School",,,,,,"11 lakh, 9 lakh",,098221 21639,"kavitadas@rediff.com, emiliainnis@gmail.com",,admissions@bachpanglobal.com,admissions@bachpanglobal,supriya_1478@yahoo.co.in,9822121639,8888498121,7290047000,,,,
"Bachpan Play School, Proddutur","No. 7-18, Lalitha Building,, Kamayathopu Center, Kanuru,, Vijayawada, Andhra Pradesh 520007",http://www.bachpanglobal.com/,Vijaywada,Kids School,,,,,,11 lakh,,099126 56887,,,response@bachpanglobal.com,bhills.bachpan@gmail.com,admissions@bachpanglobal.com,7995128002,9246114150,9246524150,"9151005501, 9151005502, 9151005506, 8800049460, 8800049461, 9105000638, 7830906666, +91-8447069990",,,
"Bachpan Play School, Unnao","Between Fantasy Motel and Hussain Nagar Chauraha Bypass, Kanpur-Lucknow, Highway, Unnao, Uttar Pradesh 209801",http://www.bachpanglobal.com/,Unnao,State Board School,,,,,,10 lakh,,082992 81519,,,admissions@bachpanglobal.com,shuklaganj2266@bachpanglobal.com,baraut1950@bachpanglobal.com,9889221160,9936434078,7290047000,9511942542,,,
Bachpan a play School,"near Hdfc bank, Ravi Raj Colony, Nagalli Hills Colony, Dona Paula, Goa 403004",http://www.bachpanglobal.com/,Goa,Private Schoos,,,,,,5 lakh,,088884 98121,rosy13@gmail.com,,admissions@bachpanglobal.com,franchise@bachpanglobal.com,baraut1950@bachpanglobal.com,9582523841,9643383350,7290047000,,,,
Bachpan...a play school,"Sunrise School At : Pandana Patiya, Jamnagar - Dwarka Highway, Jamnagar, Gujarat 361008",https://www.bachpanglobal.com/,Gujarat,Private Schoos,,,,,,5 lakh,,098251 68508,kaushik4@gmail.com,,franchise@bachpanglobal.com,admissions@bachpanglobal.com,response@bachpanglobal.com,9811437000,7290047000,+91-9811437000,,,,
Bahá'í school,"H#169, National Highway 31A, Upper Tadong, Tadong, Gangtok, Sikkim 737102",http://bahaischooltadong.com/,Sikkim,"International School, Boarding school",,,,,,"7 crore, 8 crore",,03592 220 200,,,rowhani-school@vanuatu.com.vu,lsakurnool@ibnc.in,lsavisakhapatnam@ibnc.in,lsaguwahati@ibnc.in,louhelenregistrar@usbnc.org,opa-re@bahai.org.uk,"8276066444, 9845020846, 9841043626, maharishierode@gmail.com, info@mvmerode.com",,,
"Bajali College, Pathsala","Pathsala Town, Barpeta, Assam 781325",http://www.bajalicollege.ac.in/,Assam,IB school,,Chandana Sharma,,,,2.5 crore,,03666 266 423,dr.hazarika@gmail.com,rakhibais@gmail.com,info@bhattadevuniversity.ac.in,pranabkalitaz@gmail.com,patgiridebajit1@gmail.com,citraranideka123@gmail.com,bajalicollege@yahoo.co.in,asm-bajali@cic.nic.in,,,,
Bal Bharati Public School,"Sir Ganga Ram Hospital Marg, Old Rajinder Nagar, Rajinder Nagar, New Delhi, Delhi 110060",http://bbpsgr.balbharati.org/,"Uttar Pradesh, Kerala","IB school, Board School",,,1944,,,"1/2 crore, 9 lakh",,011 2578 2419,meeta1980@gmail.com,,lvsehgal@balbharati.org,bbpsgrh@balbharati.org,bbpspr@balbharati.org,"bbpsrh@balbharati.org, 8882001869","bbpskhrnm@yahoo.com, 8882004473",bbpsludhiana@gmail.com,,,,
Bal Vidya Mandir Senior Secondary School,"Railway Station, Station Road Opp :Charbagh, Lucknow, Uttar Pradesh 226001",http://www.balvidyamandirlucknow.org/,Lucknow,"Kids School, Private School, CBSE School, International School",,R. K. Pandey,,,,,,0522 263 5764,"prominichopra@yahoo.com, mrs1971@gmail.com, chaudhary.phd@gmail.com, dramita@gmail.com","balwant.phd@gmail.com, devendra18@gmail.com, shekhar18@gmail.com, shridhar.bsc@gmail.com",bvmlko@rediffmail.com,"bvmlko@rediffmail.co, bbvmschool@hotmail.com","bbvmschool@hotmail.com, bvmlko@rediffmail.co",9412721233,"mclsbmhn@gmail, bvm_ssschool@yahoo.com",mclsbmhn@gmail,,,,
Baldwin Boys High School,"14, Hosur Rd, Richmond Town, Bengaluru, Karnataka 560025",https://baldwinboyshighschool.edu.in/,Karnataka,ICSE School,,Mrs. Leena Daniel,,,,4 crore,,080 4936 3866,shabana1975@gmail.com,parveenirani@gmail.com,principal@baldwinboyshighschool.edu.in,bbhs.enquiry@gmail.com,,9148507888,+91-9148507888,,,,,
Baldwin Farm Area High School,"Opposite, Kadma Market, Kadma, Jamshedpur, Jharkhand 831005",http://www.baldwinsociety.in/,Jharkhand,"School, Private School",,Subhoshree Sarkar,2003,,,"2.5 crore, 2 crore",,0657 231 0195,"sinha.phd@gmail.com, manohar1968@yahoo.com, dr1984@rediff.com","varsha7@gmail.com, trupti.phd@gmail.com, dr.sarbjit@gmail.com",info.bfa@baldwinsociety.in,de_tax_ranchi@hotmail.com,baldwinkadma@gmail.com,9608916532,8051080849,,,,,
Baldwin Girls' High School,"90, Richmond Rd, Richmond Town, Bengaluru, Karnataka 560025",https://baldwingirls.edu.in/,Bengaluru,Schools,Co-ED,Asha M Das,1880,,,50 k,8 lakh,080 2221 1743,"asha1989@hotmail.com, baldwingirls@gmail.com",vidyavihar@gmail.com,baldwingirls@gmail.com,enquiry@baldwingirls.edu.in,,+91-9148780138,,,,,,
Believers Church Residential School (BCRS),"Thiruvalla Mallappally Road, Kuttapuzha, Thiruvalla, Kerala 689103",http://www.bcrschool.org/,Kerala,"CBSE School, IB school, Boarding school, School",,Shirley Ann Thomas,2002,Central Board of Secondary Education,,"3 crore, 2 crore, 10 lakh",,0469 273 3404,"mohotra6@gmail.com, sir.bsc@gmail.com, dranjali@rediff.com, ravindranathdsavdeykar@gmail.com","vikram.bsc@gmail.com, pro.agrawal@gmail.com, raj.phd@gmail.com",bcrsthiruvalla@gmail.com,bcedu@bcasia.org,,9497684375,9207306438,8301818030,,,,
Bethany Convent School,"Opposite Central Jail, Naini, Prayagraj, Uttar Pradesh 211008",http://www.bethanyconventschool.org/,Uttar Pradesh,Schools,,Sr. Shilpa B.S,12 July 1965,,,,,0532 269 7351,drruchi@gmail.com,phd.parkash@gmail.com,bethanyconventschoolgn2012@gmail.com,gnoidabethany12@gmail.com,info@bethanyconventschool.com,7838501497,,,,,,
Bethany High School,"CA -12, 20th Main, Koramangala, Next to Koramangala Police station, Bengaluru, Karnataka 560095",http://bethanyinstitutions.edu.in/,Karnataka,"CBSE School, ICSE School, School",,Mr. Robert Khin,1963,,,1/2 crore,,080 2553 1815,"anvita1988@gmail.com, sibi.msc@gmail.com, miss1969@gmail.com","sharmila.msc@gmail.com, trupti20@gmail.com, ashok10@gmail.com","school@newsite.bethanyinstitutions.edu.in, info@bethanyinstitutions.edu.in","info@bethanyinstitutions.edu.in, school@bethanyhigh",school@bethanyhigh,9148146454,8025533603,8793675263,,,,
Bethany School,"Gandhi Road, Limbugaon, Darjeeling, West Bengal 734101",http://bethanydarjeeling.com/,Sikkim,International School,,,,,,12 crore,,0354 225 2744,,,bethanyschoolsulantu@gmail.com,contact@bethanydarjeeling.com,enquiry@bethanyconventschoolpanvel.org,8001554574,8116462681,8451999879,"8448281776, 7275409090, 7317701112",,,
Bethel Mission School,"Chhura Hmun, Bethel Veng, Champhai, Mizoram 796321",http://www.facebook.com/bethel.ms,Mizoram,"School, Play School, Private School",,K. Malsawmdawngi,,,,"2 crore, 1/2 crore, 2525 crore",,096124 47703,"dr.msc@yahoo.com, c1973@rediff.com, kurup1990@gmail.com","principal.asif@gmail.com, msc.milind@gmail.com, abdulazeem@gmail.com",bethelmission99@gmail.com,julianakavitha@gmail.com,bestbihar@rediffmail.com,9977510369,,,,,,
Bharad Vidhya Mandir,"Moti Palace Township, Junagadh, Gujarat 362015",http://bharadschools.org/about-us.php,Gujarat,Private Schoos,,,,,,8 lakh,,098240 13425,pranabkumar@gmail.com,,info@bharadschools.org,principal_eng@bharadschools.org,pbpandya7@gmail.com,9099096413,9904498255,9099096422,,,,
Bharathiar University Arts and Science College,"Valparai, Tamil Nadu 642127",http://www.b-u.ac.in/,Tamil Nadu,Private Schoos,,,,,,8 crore,,04253 223 489,,,regr@buc.edu.in,drngparts@kmch.ac.in,coenasc@nehrucolleges.com,deanadmin@drngpasc.ac.in,deansa@drngpasc.ac.in,deanresearch@drngpasc.ac.in,littleangelspennsauken@gmail.com,,,
Bharatiya Vidya Bhavan's Mehta Vidyalaya,"KG Marg, Copernicus Marg, New Delhi, Delhi 110001",http://www.bvbmehtavidyalaya.org/,Delhi,"School, Private School",,Dr. Anju Tandon,1950,Central Board of Secondary Education,,,,011 2338 4881,"vijaya15@gmail.com, manish.bsc@yahoo.com, andrew.msc@gmail.com","pro.chandra@gmail.com, yuwaraj10@gmail.com, shrisandeep@gmail.com",principal@bvbmehtavidyalaya.org,"admin@bhavanitesdelhi.org, mehtavidyalaya@rediffmail.com","mehtavidyalaya@rediffmail.com, admin@bhavanitesdelhi.org",director@bvbdelhi.org,anjutandonbvb@gmail.com,,,,,
Bharatiya Vidya Bhavans Vidya Mandir,"Poochatty P.O, Eravimangalam, Thrissur, Kerala 680751",http://www.bvbpoochatty.in/,Kerala,CBSE School,,Sujatha Menon,,,,233 crore,,0487 237 0251,wadalkar1965@hotmail.com,deshmukh18@gmail.com,bvmtcr@gmail.com,,,9388780507,9388780503,9048787508,,,,
Billabong High International School,"6F, Radio Colony St, Palavakkam, Chennai, Tamil Nadu 600041",https://www.billabonghighschool.com/chennai-palavakkam/,Tamil Nadu,International School,,,,,,6 crore,,098413 11117,,,info.malad@billabonghighschool.com,info.santacruz@billabonghighschool.com,info.azadnagar@billabonghigh.com,917556457555,917552696799,917552696818,armypublicschoolalwar@gmail.com,,,
Birla High School,"1, Moira St, Elgin, Kolkata, West Bengal 700017",http://www.birlahighschool.com/,West Bengal,"School, Private School, CBSE School",,Ms. Lovleen Saigal,"11 July 1941, Kolkata",Central Board of Secondary Education,,2.5 crore,,033 2287 6420,"dr.sarita@hotmail.com, gupta1981@gmail.com, chaudhary18@gmail.com, shalini1@gmail.com","patharneha@gmail.com, msc.dipak@gmail.com, suhas.bsc@gmail.com, satnam.msc@gmail.com",principal@birlahighschool.com,--bhsjr@birlahighschool.com,bhsjrkol@gmail.com,9903606575,,,"9143124555, info@cisdasuya.com, communications@bciswest.org, athan@yahoo.com, +91-8090055605, 9305859584",,,
Birla Open Minds International School,"Survey No 192 & 193 Outer Ring Road Gachibowli, Kollur, Hyderabad, Telangana 502300",http://www.openminds-hyderabad.com/,"Warangal, Telangana, Mahabubnagar, Karimnagar, Banda, Abids ","ICSE School, School, Kids School, Play School, International School, IB school, Private School",,Syamali Choudhry,2013,,,"1/2 crore, 4 crore, 2.5 crore, 2 crore",,095910 35414,"arvinddr@gmail.com, kain.msc@gmail.com, bro1976@gmail.com, dr.cook@gmail.com, pinderjeet12@gmail.com, sharma1984@yahoo.com, dubey.msc@gmail.com, alka1974@gmail.com, tripathi19@gmail.com","prashant3@gmail.com, dr.madan@gmail.com, pravinkumar.msc@gmail.com, ajay20@gmail.com, gaikwadpopatrao@gmail.com, sanjay.msc@gmail.com, jawale20@gmail.com",admissions.bomis@birlaopenminds.com,openmindsbsp@gmail.com,info@birlaschoolbsp.com,8499993928,"9987872231, 8815105684, 8815105682","8815105684, 8815105683","9706191724, 7002663342",,,
Birla School Pilani,"Birla School Pilani, Pilani, Rajasthan 333031",http://www.birlaschoolpilani.edu.in/,Rajasthan,CBSE School,,Sanjay Srivastava,,,,1/2 crore,,099506 75557,revathydr@gmail.com,dr.mahadeo@gmail.com,bursar@bpspilani.edu.in,hmjunior@bpspilani.edu.in,principal@birlaschoolpilani.edu.in,9667200770,8875001864,9667200785,,,,
Bishop Westcott Boys' School,"Namkum, Ranchi, Jharkhand 834010",http://bishopwestcottboysschool.com/,Jharkhand,"Private School, CBSE School, ICSE School, IB school",,R. I. Thornton,1927,,,"2 crore, 4 crore, 1/2 crore",,0651 656 5004,"pskalra@yahoo.com, awanindrasingh@gmail.com, james.bsc@gmail.com, damayanti.phd@gmail.com","medhabhat@gmail.com, vijaya.bsc@gmail.com, shubhangi15@gmail.com, vandana8@gmail.com","principal@bishopwestcottboysschool.com, info@bishopwestcottboysschool.com","info@bishopwestcottboysschool.com, principal@bishopwestcottboysschool.com",bwbs_namkum@yahoo.co.in,8092065002,,,,,,
Blessing Academy,"Hemadrie, 4, Gandhi Rd, Darjeeling, West Bengal 734101",http://www.blessingacademy.info/,Sikkim,Private School,,,,,,1/2 crore,,098008 71324,,,principal@blessingseducation.org,blessingacademy@gmail.com,jd@domain.com,9688999811,8012553410,7373079060,"+91-9044059024, 919235311061, +91-7318585111",,,
Blessing Academy,"Hemadrie, 4, Gandhi Road, Darjeeling, West Bengal 734101",http://www.blessingacademy.info/,Sikkim,Private Schoos,,,,,,5 crore,,098008 71324,,,principal@blessingseducation.org,blessings_2013@rediffmail.com,admissions@blessingseducation.org,9688999811,8012553410,7373079060,9415927000,,,
Bloomingdale Play School (Village Campus),"Village Campus, Municipal Employees Colony, Vijayawada, Andhra Pradesh 520010",https://bloomingdale.edu.in/,Vijaywada,Private School,Co-ED,Dr. Madhuri Shah,,,,5 lakh,,077997 87827,l1973@gmail.com,namdev14@gmail.com,support@bloomingdale.edu.in,leelak@blooms.edu.in,,+91-7799787827,,,"9266787900, 918057351351, 9219444190, 9557501299",,,
Bloomz International School,"Baida, Nuvem, Margao, Goa 403604",http://bloomzinternationalschool.com/,Goa,"Schools, Private Schoos, Kids School",,,,,,"11 lakh, 8 lakh, 12 lakh",,070280 36881,"dr.shanthi@gmail.com, sujatha11@hotmail.com, ghosh12@gmail.com",,info@bloomzinternationalschool.com,aditi@bloomzinternationalschool.com,principal@bloomzinternationalschool.com,"8322730372, 917028036881","917028036881, 7028036881","7028036881, 9891399253",,,,
Blossoms International Play School,"Villa No. 1, Wonder Cherish Villas, Masjid Banda, Kondapur, Hyderabad, Telangana 500081",http://blossomsinternational.in/,Telangana,Play School,,,,,,2.5 crore,,088865 84111,,,blossomsinternational.soe@gmail.com,blossomssoe.nallagandla@gmail.com,info@blossomsplayschool.com,8790909260,7093651414,8977862000,"9868255011, 9425508099",,,
Blue Bells Model School,"Urban Estate, Sector 4, Gurugram, Haryana 122001",http://www.bluebells.org/bbms,Haryana,"Schools, School",,Mrs. Alka singh,1980,,,11 lakh,,0124 469 8888,"dwivedi6@hotmail.com, rajeshwari16@gmail.com",msc.manish@gmail.com,bbms@bluebells.org,bbpublic@bluebells.org,info@bluebells.org,9811945543,9811868241,9811868242,,,,
Board of School & Technical Education (C.G.),"A-6, Nature City, Mungali Road, Bilaspur, Chhattisgarh 495001",http://www.bstecg.edu.in/,Chhattisgarh,Board School,,,,,,5 lakh,,097532 17000,josedr@gmail.com,,nfo@bstecg.edu.in,chairman@bstecg.edu.in,secretary@bstecg.edu.in,examination@bstecg.edu.in,affiliation@bstecg.edu.in,account@bstecg.edu.in,,,,
Bongaigaon College,"Near Umananda Devalaya Mandir Dolaigaon, College Road, Bongaigaon, Assam 783380",http://www.bongaigaoncollege.ac.in/,,School,,Dr. Hitesh Ch. Das,8 July 1964,Gauhati University,,,,03664 230 310,dr.sharma@gmail.com,parkash.phd@gmail.com,principal@bongaigaoncollege.org,principalbgncol@gmail.com,rincipalbgncol@gmail.com,bngncol@sancharnet.in,bngncol@sify.com,bngncol@sify,,,,
Boys’ High School And College,"Boys' High School & College, Civil Lines, 4 P. D. Tandon Road, Prayagraj, Uttar Pradesh 211001",http://boyshighschool.com/,Uttar Pradesh,Schools,,David Luke,1861,Council for the Indian School Certificate Examinations,,,,0532 226 6582,sh1976@gmail.com,chourey6@gmail.com,principal@boyshighschool.com,,,7000101000,,,8270606785,,,
Bright Day School,"Harni Rd, Near Airport Hotel, Shyam Nagar, Harni, Vadodara, Gujarat 390022",http://www.thebrightschool.com/cbse-harni.html,Gujarat,Board School,,,,,,12 lakh,,0265 248 6891,n1970@gmail.com,,harni@thebrightschool.com,contact1@thebrightschool.com,viproad@thebrightschool.com,9033055186,9033055189,9428066394,,,,
Brilliant School,"Near Mavdi Ring Road Chokdi, Opp. Jitruya Hanuma Temple, Jasraj Nagar, Mavdi, Rajkot, Gujarat 360004",http://brilliantschoolrajkot.com/,Gujarat,Private Schoos,,,,,,9 lakh,,094294 85655,naveen8@gmail.com,,brilliant_bsp@yahoo.com,info@brilliantschool.net,bisinternationalschool.info@gmail.com,8251822772,8251822774,info@brilliantbsp.com,,,,
Burgess English School,"police ground Civil Line Road Opposite, police ground, Ambedkar Nagar, Bilaspur, Chhattisgarh 495001",http://www.burgessenglish.com/,Chhattisgarh,Private Schoos,,,,,,12 lakh,,,mercy1987@gmail.com,,besbspoffice@gmail.com,info@burgessenglish.com,anjana_nath_burgess@yahoo.co.in,7752223895,jasicanath01@gmail.com,burgessenglish@yahoo.in,,,,
Buxi Jagabandhu English Medium School-II,"Satyabhamapur, Balakati, Khordha, Odisha 752100",http://bjemschool-ii.org/,Odisha,CBSE School,,Khyanika Das,,,,2.5 crore,,092381 03190,sisterceline@gmail.com,msc.arora@gmail.com,bjems2sbpur@rediffmail.com,,,9437284456,7328828632,7328828633,,,,
C.S.I. Ewart School,"Alagappa Rd, Purasaiwakkam, Chennai, Tamil Nadu 600084",http://csiewartschool.com/,Tamil Nadu,CBSE School,,Mrs. Beena Devaprasad,1913,,,2.5 crore,,044 2641 1296,swapnashome@gmail.com,deshpandegajanan@gmail.com,ewartglobalschool@gmail.com,ewartseed@eth.net,ewartseed@eth,919655793951,,,,,,
CARMEL SCHOOL,"New Forest Colony, Hazaribagh, Jharkhand 825301",http://hazaribagcarmel.in/,Jharkhand,"School, ICSE School",,Sister Ria A.C,,,,"1684 crore, 1853 crore",,094311 55277,"tanushree.phd@yahoo.com, cjacob@hotmail.com","mamtaagrawal@gmail.com, sameer.bsc@gmail.com",info.an@mountcarmeldelhi.com,"info.dw@mountcarmeldelhi.com, carmelschooldp@gmail.com","carmelschooldp@gmail.com, kecarmelsarisha@gmail.com",9696526027,8081272859,,,,,
"CFTRI School, Mysore","Cftri Campus, Yadavgiri, Opposite Cheluvamba Park, Yadavgiri, Mysuru, Karnataka 570020",http://www.cftrischool.edu.in/,Mysore,School,Co-Ed,,1964,,,,,0821 251 5381,,,mangalas@cftri.res.in,cofaaccounts@cftri.res.in,fao@cftri.res.in,9945536353,hindisec@cftri.res.in,guesthouse@cftri.res.in,,,,
CHIREC International School,"1-55/12, Botanical Garden Rd, Sri Ram Nagar, Kondapur, Hyderabad, Telangana 500084",https://www.chirec.ac.in/,"Telangana, Andhra Pradesh","School, Kids School, Play School, CBSE School, IB school, International School, Private Schoos",,"Iffat Ibrahim (CBSE), Sanchita Raha (International Section)",March 1989,,,"2 crore, 1/2 crore, 4 crore, 3 crore, 5 crore, 8 crore",,040 4476 0999,"pinderjeet@gmail.com, col1977@yahoo.com, divyadwivedi@rediff.com, bkissar14@gmail.com, er.divya@gmail.com, peteremmanuel@gmail.com, anuradha1988@gmail.com, fcc1988@gmail.com","digraskarvijay@gmail.com, uday.phd@gmail.com, principal.s@gmail.com, manojkumar3@gmail.com, gaikwadbalwant@gmail.com, dnyanoba7@gmail.com, dr.nepal@gmail.com, pro.punit@gmail.com","office.kp@chirec.ac.in, admissions@chirec.ac.in","office.gb@chirec.ac.in, office.kp@chirec.ac.in","office.jh@chirec.ac.in, office.gb@chirec.ac.in",9866461201,9121174324,7702203382,"9678074322, 9678074323, 9864177757, 9435013561, kxxxxxxxxd@npsis.in, sdisghy@gmail.com",,,
